# 5%

step 0: train loss 4.1861, val loss 4.1881
step 0: train loss (forward only) 4.1876, val loss (forward only) 4.1891
step 0: train loss (backward only) 4.1770, val loss (backward only) 4.1776
iter 0: loss 4.1839, time 12904.30ms, mfu -100.00%
iter 1: loss 4.1847, time 151.23ms, mfu -100.00%
iter 2: loss 4.1744, time 108.65ms, mfu -100.00%
iter 3: loss 4.1393, time 143.03ms, mfu -100.00%
iter 4: loss 4.1025, time 148.28ms, mfu -100.00%
iter 5: loss 4.0480, time 145.61ms, mfu 0.23%
iter 6: loss 3.9768, time 145.74ms, mfu 0.23%
iter 7: loss 3.9095, time 148.29ms, mfu 0.23%
iter 8: loss 3.8538, time 147.54ms, mfu 0.23%
iter 9: loss 3.7921, time 143.77ms, mfu 0.23%
iter 10: loss 3.7634, time 150.79ms, mfu 0.23%
iter 11: loss 3.7346, time 146.85ms, mfu 0.23%
iter 12: loss 3.7196, time 145.58ms, mfu 0.23%
iter 13: loss 3.6854, time 144.51ms, mfu 0.23%
iter 14: loss 3.6690, time 146.79ms, mfu 0.23%
iter 15: loss 3.6650, time 148.91ms, mfu 0.23%
iter 16: loss 3.6411, time 146.38ms, mfu 0.23%
iter 17: loss 3.6203, time 143.14ms, mfu 0.23%
iter 18: loss 3.6209, time 147.26ms, mfu 0.23%
iter 19: loss 3.5902, time 148.14ms, mfu 0.23%
iter 20: loss 3.5738, time 148.38ms, mfu 0.23%
iter 21: loss 3.5651, time 147.54ms, mfu 0.23%
iter 22: loss 3.5329, time 147.11ms, mfu 0.23%
iter 23: loss 3.5150, time 146.50ms, mfu 0.23%
iter 24: loss 3.4686, time 147.32ms, mfu 0.23%
iter 25: loss 3.4272, time 146.81ms, mfu 0.23%
iter 26: loss 3.4119, time 148.81ms, mfu 0.23%
iter 27: loss 3.3599, time 148.20ms, mfu 0.23%
iter 28: loss 3.3438, time 155.95ms, mfu 0.23%
iter 29: loss 3.3201, time 145.06ms, mfu 0.23%
iter 30: loss 3.2876, time 148.34ms, mfu 0.23%
iter 31: loss 3.2691, time 145.55ms, mfu 0.23%
iter 32: loss 3.2588, time 144.53ms, mfu 0.23%
iter 33: loss 3.2164, time 146.99ms, mfu 0.23%
iter 34: loss 3.1841, time 144.35ms, mfu 0.23%
iter 35: loss 3.1495, time 146.49ms, mfu 0.23%
iter 36: loss 3.1197, time 145.38ms, mfu 0.23%
iter 37: loss 3.1165, time 145.25ms, mfu 0.23%
iter 38: loss 3.1019, time 148.67ms, mfu 0.23%
iter 39: loss 3.0688, time 145.32ms, mfu 0.23%
iter 40: loss 3.0462, time 146.39ms, mfu 0.23%
iter 41: loss 3.0268, time 146.69ms, mfu 0.23%
iter 42: loss 2.9999, time 146.37ms, mfu 0.23%
iter 43: loss 2.9969, time 146.88ms, mfu 0.23%
iter 44: loss 2.9674, time 143.46ms, mfu 0.23%
iter 45: loss 2.9424, time 145.84ms, mfu 0.23%
iter 46: loss 2.9690, time 147.27ms, mfu 0.23%
